date,temperature,humidity,weather
2024-11-11 18:00:00,11.41,76,clear sky
2024-11-11 21:00:00,11.2,67,clear sky
2024-11-12 00:00:00,10.76,51,clear sky
2024-11-12 03:00:00,18.26,38,broken clouds
2024-11-12 06:00:00,20.86,39,scattered clouds
2024-11-12 09:00:00,19.81,46,clear sky
2024-11-12 12:00:00,12.49,86,few clouds
2024-11-12 15:00:00,11.56,84,clear sky
2024-11-12 18:00:00,10.75,75,clear sky
2024-11-12 21:00:00,10.33,74,clear sky
2024-11-13 00:00:00,9.9,82,clear sky
2024-11-13 03:00:00,17.45,58,clear sky
2024-11-13 06:00:00,20.81,45,clear sky
2024-11-13 09:00:00,19.98,53,clear sky
2024-11-13 12:00:00,13.03,94,light rain
2024-11-13 15:00:00,12.53,98,clear sky
2024-11-13 18:00:00,11.84,97,clear sky
2024-11-13 21:00:00,10.46,90,clear sky
2024-11-14 00:00:00,9.08,77,clear sky
2024-11-14 03:00:00,17.4,51,clear sky
2024-11-14 06:00:00,21.01,40,clear sky
2024-11-14 09:00:00,20.04,49,clear sky
2024-11-14 12:00:00,12.92,93,light rain
2024-11-14 15:00:00,12.52,98,clear sky
2024-11-14 18:00:00,12.05,97,clear sky
2024-11-14 21:00:00,10.68,90,clear sky
2024-11-15 00:00:00,9.46,77,clear sky
2024-11-15 03:00:00,17.46,46,clear sky
2024-11-15 06:00:00,20.85,37,clear sky
2024-11-15 09:00:00,19.84,46,clear sky
2024-11-15 12:00:00,12.51,93,clear sky
2024-11-15 15:00:00,11.95,96,clear sky
2024-11-15 18:00:00,11.62,95,clear sky
2024-11-15 21:00:00,10.72,93,clear sky
2024-11-16 00:00:00,9.81,83,clear sky
2024-11-16 03:00:00,17.29,47,clear sky
2024-11-16 06:00:00,20.43,39,clear sky
2024-11-16 09:00:00,19.51,48,clear sky
2024-11-16 12:00:00,12.43,93,clear sky
2024-11-16 15:00:00,12.05,98,clear sky
